corp_code,stock_code,corp_name_master,industry_krx,bsns_year,cash_and_cash_equivalents,cfo,current_assets,current_liabilities,finance_costs,inventory,net_income,operating_income,revenue,total_assets,total_equity,total_liabilities,liabilities_to_assets,equity_ratio,current_ratio,quick_ratio,cash_ratio,roa,roe,operating_margin,finance_cost_coverage,cfo_to_assets,cfo_to_liabilities,bs_check,bs_check_relative,weak_liquidity,weak_quick_liquidity,high_leverage,negative_roa,negative_operating_margin,weak_finance_cost_coverage,negative_cfo,flag_weak_liquidity,flag_high_leverage,flag_weak_profitability,flag_weak_coverage,flag_negative_cashflow,available_dimension_count,distress_flag_count,risk_bucket
00105271,002380,케이씨씨,화학,2022,776747673687.0,384566370763.0,4029782763437.0,2869372542476.0,,1576100223492.0,28661656966.0,467661528938.0,6774793651227.0,13118486307658.0,5551138505338.0,7567347802320.0,0.576846110507621,0.423153889492379,1.4044125340237883,0.8551286051645638,0.2707029715342363,0.0021848295827597,0.005163203357012,0.0690296344086141,,0.0293148433244548,0.0508191748032381,0.0,0.0,False,False,False,False,False,,False,False,False,False,,False,4,,Insufficient data
00105271,002380,케이씨씨,화학,2023,1045142107132.0,788266331197.0,4178192966688.0,3836444032748.0,554248708442.0,1398999724007.0,92502625102.0,312530203929.0,6288442613717.0,13353471078397.0,5447529409519.0,7905941668878.0,0.59205143160628,0.4079485683937199,1.089079608883336,0.7244190763524044,0.272424698030425,0.0069272344665237,0.0169806563945044,0.0496991422402864,0.5638807978597303,0.0590308187713262,0.0997055587065657,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,False,5,1,Watch
00105271,002380,케이씨씨,화학,2024,501329763430.0,596801288316.0,3994488398577.0,3230859313899.0,769832798478.0,1583235991296.0,293294512467.0,471118235184.0,6658762417820.0,13108550142754.0,5039315406549.0,8069234736205.0,0.6155703451815702,0.3844296548184299,1.2363547931019172,0.7463192213006333,0.1551691716421398,0.0223742907699921,0.0582012612439062,0.0707516210404513,0.6119747510309064,0.0455276351554327,0.0739600851662271,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,False,5,1,Watch
00105271,002380,케이씨씨,화학,2025,1193612441434.0,789477482258.0,3982829853431.0,3982446436106.0,657045718984.0,1529985814462.0,1538496275573.0,427615116299.0,6483819486096.0,16803559405446.0,7824485732406.0,8979073673040.0,0.5343554574592035,0.4656445425407964,1.0000962768316288,0.6159138806565767,0.2997183918438595,0.0915577609749977,0.1966258650330388,0.065951113724863,0.6508148579983565,0.046982753070884,0.0879241568791706,0.0,0.0,False,False,False,False,False,True,False,False,False,False,True,False,5,1,Watch
00105855,010120,엘에스일렉트릭,전기·전자,2019,534507436526.0,216079620947.0,1666899982143.0,753778846648.0,16177577703.0,196292257902.0,103042611501.0,168548576962.0,2346848548538.0,2538144406862.0,1362682802339.0,1175461604523.0,0.4631184897695659,0.5368815102304341,2.211391298065186,1.950980358205442,0.7091037893978,0.0405976158103609,0.0756174594147154,0.0718191112362148,10.418653525041888,0.0851329106266838,0.1838253330568672,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105855,010120,엘에스일렉트릭,전기·전자,2020,683234939608.0,288900985879.0,1649804547143.0,644246457944.0,19432193597.0,176861493887.0,85485546630.0,133713579421.0,2402672528424.0,2540396071840.0,1413469901122.0,1126926170718.0,0.4436025481261949,0.5563974518738052,2.5608282774391387,2.28630368874148,1.0605179604532478,0.0336504797726612,0.0604792125832621,0.0556520199232924,6.881033721362425,0.1137228123919078,0.2563619457829541,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105855,010120,엘에스일렉트릭,전기·전자,2021,701596943478.0,101544478367.0,1887748202729.0,845300727437.0,48934631254.0,261477004953.0,85310345509.0,155131916609.0,2668264980253.0,2796731557614.0,1473419264652.0,1323312292962.0,0.4731638577750983,0.5268361422249016,2.2332267575975715,1.9238966027001383,0.8299968528422801,0.0305035874024969,0.0578995724812577,0.0581396217231358,3.1701866885186605,0.0363082678030177,0.0767350827972063,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105855,010120,엘에스일렉트릭,전기·전자,2022,556085787716.0,-145446470458.0,2341252236663.0,1390210307038.0,36179239812.0,460346933466.0,91209999630.0,187524016869.0,3377070215838.0,3322804977898.0,1549291005666.0,1773513972232.0,0.5337400130398028,0.4662599869601972,1.6840993228221004,1.3529645792977043,0.4000011975891644,0.0274496999482946,0.0588720900698646,0.0555286105659094,5.18319394889004,-0.0437721959084126,-0.0820103324446623,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,True,5,1,Watch
00105855,010120,엘에스일렉트릭,전기·전자,2023,583925062424.0,214646330873.0,2605193022178.0,1448676924745.0,46582280024.0,527985325318.0,207672688149.0,324877723039.0,4230482628448.0,3732891934230.0,1724042303163.0,2008849631067.0,0.5381483489104472,0.4618516510895528,1.7983257534364143,1.4338653852898469,0.4030747314669791,0.0556331905150202,0.1204568401645336,0.0767944822310226,6.974276975528406,0.0575013514065941,0.1068503722496096,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105855,010120,엘에스일렉트릭,전기·전자,2024,660104319206.0,230146922129.0,3052191652183.0,1846349798510.0,55346279717.0,510013227555.0,242237998768.0,389717122317.0,4551837252467.0,4485197464384.0,1890092083448.0,2595105380936.0,0.5785933398792763,0.4214066601207237,1.6530950173396783,1.3768671714750542,0.3575185589094237,0.0540083242023479,0.1281620090837571,0.0856175431372862,7.04143303415741,0.0513125506639446,0.0886850005474501,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105855,010120,엘에스일렉트릭,전기·전자,2025,762716704001.0,299948385888.0,3356846142791.0,1864659912559.0,60129920354.0,552890167663.0,284256733172.0,426407143017.0,4965798552980.0,4956680318372.0,2141298852376.0,2815381465996.0,0.5679973863879726,0.4320026136120274,1.8002457821835034,1.5037358588783838,0.409037969263935,0.0573482078556486,0.1327496780080869,0.0858687960189426,7.091430364561164,0.0605139663286811,0.1065391633463378,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00105873,034220,LG디스플레이,전기·전자,2019,3336003000000.0,2706545000000.0,10248315000000.0,10984976000000.0,443247000000.0,2051155000000.0,-2872078000000.0,-1359382000000.0,23475567000000.0,35574563000000.0,12488281000000.0,23086282000000.0,0.6489547601751285,0.3510452398248715,0.9329392253565232,0.7462155584136005,0.3036877822946541,-0.0807340345965739,-0.2299818525864368,-0.0579062478022362,-3.066872421020334,0.07608090646117,0.1172360711872097,0.0,0.0,True,False,False,True,True,True,False,True,False,True,True,False,5,3,High
