ratio_name,tail,corp_code,stock_code,corp_name_master,industry_krx,bsns_year,ratio_value,numerator_name,numerator_amount,denominator_name,denominator_amount
finance_cost_coverage,highest,00158501,012750,에스원,일반서비스,2019,229.0642175300863,operating_income,196822006653.0,finance_costs,859243791.0
finance_cost_coverage,highest,00144395,026960,동서,유통,2023,205.6619886652794,operating_income,43752486840.0,finance_costs,212739783.0
finance_cost_coverage,highest,00144395,026960,동서,유통,2024,171.96680684399243,operating_income,44476967156.0,finance_costs,258636931.0
cfo_to_liabilities,lowest,00255619,035250,강원랜드,오락·문화,2020,-1.6616074915766552,cfo,-655676332159.0,total_liabilities,394603620580.0
cfo_to_liabilities,lowest,00398701,066970,엘앤에프,전기·전자,2022,-0.4971162063067344,cfo,-864287525947.0,total_liabilities,1738602594287.0
cfo_to_liabilities,lowest,00261285,036460,한국가스공사,전기·가스,2022,-0.2803254966601487,cfo,-14580918441830.0,total_liabilities,52014242784013.0
cfo_to_liabilities,lowest,00111704,042660,한화오션,운송장비·부품,2024,-0.2237651538376926,cfo,-2904574465563.0,total_liabilities,12980459270570.0
cfo_to_liabilities,lowest,00111704,042660,한화오션,운송장비·부품,2023,-0.2013113984969686,cfo,-1939155311922.0,total_liabilities,9632615571697.0
cfo_to_liabilities,highest,00164645,011200,HMM,운송·창고,2022,2.1414768548851084,cfo,11318868000000.0,total_liabilities,5285543000000.0
cfo_to_liabilities,highest,00161383,042700,한미반도체,기계·장비,2025,1.8586920886720848,cfo,228626759780.0,total_liabilities,123004106583.0
cfo_to_liabilities,highest,00144395,026960,동서,유통,2025,1.739188093818416,cfo,106243502438.0,total_liabilities,61087988594.0
cfo_to_liabilities,highest,00161383,042700,한미반도체,기계·장비,2022,1.6759742857365176,cfo,109501808221.0,total_liabilities,65336210199.0
cfo_to_liabilities,highest,00144395,026960,동서,유통,2023,1.6598604571587228,cfo,118090904703.0,total_liabilities,71145079813.0
