bsns_year,liabilities_to_assets,equity_ratio,current_ratio,quick_ratio,cash_ratio,roa,roe,operating_margin,finance_cost_coverage,cfo_to_assets,cfo_to_liabilities
2019,0.5006896392523711,0.4993103607476288,1.3207539919825646,1.0149478213783412,0.2589977614170097,0.02540340877928105,0.0480702923929349,0.0534176607402858,4.286635589783456,0.0769152329654059,0.1829477984388163
2020,0.5113303916312333,0.4886696083687668,1.3133993850775671,1.065127193334162,0.29872914698349173,0.0281764678171364,0.0598250191549878,0.05276436810329735,2.86278127276458,0.0896653377129342,0.1832895847029179
2021,0.4964087592884996,0.5035912407115004,1.432195789805593,1.0644612146445025,0.319520468157363,0.04141957615931425,0.08934857059267964,0.0697233373105057,5.951590933099081,0.0649855309062922,0.1617859725571304
2022,0.475613548457743,0.5243864515422569,1.4044125340237883,1.0669837644861317,0.331629550366225,0.0403274262595642,0.079619174830822,0.0685106528087078,3.772002788997571,0.059734146099706203,0.13762990646055584
2023,0.4814052172284617,0.5185947827715384,1.3216472539392168,0.9676551426698679,0.27600764092032976,0.039904136238167,0.07761084019451335,0.0621788746710579,3.177454755143641,0.0734742848549089,0.1670137758778813
2024,0.4771625484522129,0.522837451547787,1.3741447231710775,0.9968803315269934,0.3072375561536804,0.04280734983750149,0.08780192547477195,0.0708590796028798,3.318635400068625,0.0662653744934248,0.1454590125922085
2025,0.4670364795838494,0.5329635204161506,1.438873761898651,1.1099850808699403,0.3043394643623482,0.042766729409147,0.0762619942490426,0.0741692696012896,3.715862275736925,0.0703014715082044,0.1440723730621598
