bsns_year,liabilities_to_assets,equity_ratio,current_ratio,quick_ratio,cash_ratio,roa,roe,operating_margin,finance_cost_coverage,cfo_to_assets,cfo_to_liabilities
2019,83,83,83,82,82,82,82,81,72,79,79
2020,83,83,83,82,82,81,81,82,73,79,79
2021,83,83,83,82,82,80,80,82,73,79,79
2022,83,83,83,82,82,81,81,81,73,80,80
2023,83,81,83,82,80,82,80,83,80,83,83
2024,83,83,83,82,83,82,82,83,81,83,83
2025,83,83,83,82,83,83,83,83,81,83,83
