corp_code,stock_code,corp_name_master,industry_krx,bsns_year,cash_and_cash_equivalents,cfo,current_assets,current_liabilities,finance_costs,inventory,net_income,operating_income,revenue,total_assets,total_equity,total_liabilities,liabilities_to_assets,equity_ratio,current_ratio,quick_ratio,cash_ratio,roa,roe,operating_margin,finance_cost_coverage,cfo_to_assets,cfo_to_liabilities,bs_check,bs_check_relative
00102858,010130,고려아연,금속,2019,689518057370.0,692660279007.0,4597942700017.0,704279137809.0,,1555733552612.0,638613351819.0,805328836892.0,6694810889702.0,7840561221499.0,6838391895409.0,1002169326090.0,0.12781857035208508,0.8721814296479149,6.52858000922918,4.319607076349385,0.9790408665448739,0.08144995412674126,0.09338648056244588,0.12029149891758135,,0.08834320139070014,0.6911609255787534,0.0,0.0
00102858,010130,고려아연,금속,2020,425567595232.0,456522986973.0,4912869202998.0,1118415592360.0,,2250033727712.0,574828670832.0,897387769203.0,7581926858435.0,8499645577650.0,7087028686312.0,1412616891338.0,0.1661971523909781,0.8338028476090219,4.392704497825551,2.3808998135184045,0.38050935460761764,0.0676297223902517,0.08110996812278089,0.11835880060022519,,0.05371082626944316,0.3231753703161452,0.0,0.0
00102858,010130,고려아연,금속,2021,466465326011.0,606883888565.0,5689044210643.0,1770527531625.0,,2909108884069.0,811106029144.0,1096146343693.0,9976776443636.0,9964048634649.0,7734234462824.0,2229814171825.0,0.22378595825707237,0.7762140417429276,3.2131916104244724,1.5701169718736652,0.2634612101077443,0.08140325874398671,0.10487218005126793,0.10986979109792636,,0.06090735912855954,0.2721679215395306,0.0,0.0
00102858,010130,고려아연,금속,2022,780981792302.0,784694563029.0,6071090869900.0,2319116608598.0,,2825444894721.0,619621572820.0,919171130822.0,11219358600107.0,11918425719802.0,9053089301953.0,2865336417849.0,0.24041232333968027,0.7595876766603197,2.617846315873793,1.3995182317033745,0.3367583110769644,0.05198854172414087,0.06844310844104129,0.08192724411297753,,0.06583877615021425,0.2738577425467087,0.0,0.0
00102858,010130,고려아연,금속,2023,676775222868.0,820863992249.0,5571656932735.0,1902819300929.0,270811108753.0,2637705334401.0,438487953148.0,659935424598.0,9704521343024.0,11768590335824.0,9365615555695.0,2402974780129.0,0.20418543865990993,0.7958145613400901,2.928106168575644,1.541897119133476,0.35566972782837697,0.03725917383777285,0.046818914415226696,0.068002882498928,2.4368846153940846,0.06975040925252206,0.341603249038233,0.0,0.0
00102858,010130,고려아연,금속,2024,893806431755.0,515812554313.0,7567074179254.0,6366334342627.0,431839323163.0,3780440277160.0,304669203777.0,723472208523.0,12052918410249.0,14602501706413.0,7405607301858.0,7196894404555.0,0.4928535225847178,0.5071464774152822,1.188607724948911,0.5947902982003119,0.14039577308567497,0.020864178611477102,0.041140340198779005,0.0600246499559648,1.6753273028123974,0.03532357432195813,0.07167154682532734,0.0,0.0
00102858,010130,고려아연,금속,2025,3451069963536.0,-628210721953.0,12069316661153.0,6127539235858.0,617368807708.0,6220537062978.0,770249337092.0,1231926775791.0,16587850779912.0,20210431697664.0,10998929848586.0,9211501849078.0,0.4557795690303192,0.5442204309696809,1.969684109164747,0.954507082377912,0.5632065060212983,0.03811147374853098,0.07002947993081542,0.0742668108205357,1.9954470656924905,-0.031083488534567574,-0.06819851227798202,0.0,0.0
00105271,002380,케이씨씨,화학,2019,214364777780.0,274779646909.0,2059589238830.0,2916784567953.0,,481101854114.0,-221877261778.0,133209522238.0,2719563984151.0,9382221503013.0,4453226856338.0,4928994646675.0,0.525354751547073,0.47464524845292705,0.7061163383332832,0.5411737987299428,0.07349352438820712,-0.023648691485992576,-0.049823929688696623,0.04898194086048895,,0.029287269205993213,0.0557476050606711,0.0,0.0
00105271,002380,케이씨씨,화학,2020,492511997839.0,679854398097.0,3372155707442.0,3014059194900.0,,911513169052.0,560873030681.0,133845504026.0,5083631492987.0,12347572328146.0,5245995001770.0,7101577326376.0,0.5751395608502022,0.42486043914979776,1.1188087192009781,0.816388258914616,0.16340488556839391,0.04542374936346825,0.10691451869316713,0.026328718792981612,,0.055059762358896085,0.09573287269181027,0.0,0.0
00105271,002380,케이씨씨,화학,2021,541200616648.0,424043437081.0,3668126354343.0,2699971576814.0,,1306421988122.0,-53211168479.0,388769767968.0,5874899292339.0,12878863208936.0,5376066871921.0,7502796337015.0,0.582566660992966,0.41743333900703405,1.3585796183348844,0.8747145290350947,0.2004467829571093,-0.004131666562160504,-0.00989778768506768,0.06617471187548091,,0.032925533115902454,0.05651805247451331,0.0,0.0
00105271,002380,케이씨씨,화학,2022,776747673687.0,384566370763.0,4029782763437.0,2869372542476.0,,1576100223492.0,28661656966.0,467661528938.0,6774793651227.0,13118486307658.0,5551138505338.0,7567347802320.0,0.576846110507621,0.423153889492379,1.4044125340237885,0.8551286051645638,0.27070297153423634,0.002184829582759756,0.005163203357012047,0.06902963440861415,,0.029314843324454814,0.05081917480323813,0.0,0.0
00105271,002380,케이씨씨,화학,2023,1045142107132.0,788266331197.0,4178192966688.0,3836444032748.0,554248708442.0,1398999724007.0,92502625102.0,312530203929.0,6288442613717.0,13353471078397.0,5447529409519.0,7905941668878.0,0.59205143160628,0.40794856839371996,1.0890796088833359,0.7244190763524044,0.27242469803042507,0.0069272344665237675,0.016980656394504474,0.049699142240286466,0.5638807978597303,0.059030818771326266,0.09970555870656578,0.0,0.0
00105271,002380,케이씨씨,화학,2024,501329763430.0,596801288316.0,3994488398577.0,3230859313899.0,769832798478.0,1583235991296.0,293294512467.0,471118235184.0,6658762417820.0,13108550142754.0,5039315406549.0,8069234736205.0,0.6155703451815702,0.3844296548184299,1.2363547931019172,0.7463192213006333,0.1551691716421398,0.02237429076999214,0.058201261243906253,0.07075162104045132,0.6119747510309064,0.04552763515543275,0.07396008516622711,0.0,0.0
00105271,002380,케이씨씨,화학,2025,1193612441434.0,789477482258.0,3982829853431.0,3982446436106.0,657045718984.0,1529985814462.0,1538496275573.0,427615116299.0,6483819486096.0,16803559405446.0,7824485732406.0,8979073673040.0,0.5343554574592035,0.46564454254079646,1.0000962768316288,0.6159138806565767,0.2997183918438595,0.09155776097499774,0.1966258650330388,0.065951113724863,0.6508148579983565,0.046982753070884016,0.08792415687917066,0.0,0.0
00105855,010120,엘에스일렉트릭,전기·전자,2019,534507436526.0,216079620947.0,1666899982143.0,753778846648.0,16177577703.0,196292257902.0,103042611501.0,168548576962.0,2346848548538.0,2538144406862.0,1362682802339.0,1175461604523.0,0.4631184897695659,0.5368815102304341,2.2113912980651866,1.9509803582054421,0.7091037893978,0.04059761581036097,0.07561745941471541,0.07181911123621486,10.418653525041888,0.0851329106266838,0.1838253330568672,0.0,0.0
00105855,010120,엘에스일렉트릭,전기·전자,2020,683234939608.0,288900985879.0,1649804547143.0,644246457944.0,19432193597.0,176861493887.0,85485546630.0,133713579421.0,2402672528424.0,2540396071840.0,1413469901122.0,1126926170718.0,0.4436025481261949,0.5563974518738052,2.5608282774391387,2.28630368874148,1.0605179604532478,0.033650479772661245,0.06047921258326217,0.055652019923292495,6.881033721362425,0.11372281239190786,0.2563619457829541,0.0,0.0
00105855,010120,엘에스일렉트릭,전기·전자,2021,701596943478.0,101544478367.0,1887748202729.0,845300727437.0,48934631254.0,261477004953.0,85310345509.0,155131916609.0,2668264980253.0,2796731557614.0,1473419264652.0,1323312292962.0,0.47316385777509834,0.5268361422249016,2.2332267575975715,1.9238966027001385,0.8299968528422801,0.03050358740249692,0.05789957248125777,0.05813962172313586,3.1701866885186605,0.03630826780301772,0.07673508279720631,0.0,0.0
00105855,010120,엘에스일렉트릭,전기·전자,2022,556085787716.0,-145446470458.0,2341252236663.0,1390210307038.0,36179239812.0,460346933466.0,91209999630.0,187524016869.0,3377070215838.0,3322804977898.0,1549291005666.0,1773513972232.0,0.5337400130398028,0.46625998696019727,1.6840993228221004,1.3529645792977043,0.4000011975891644,0.02744969994829467,0.05887209006986469,0.05552861056590943,5.18319394889004,-0.043772195908412644,-0.08201033244466235,0.0,0.0
00105855,010120,엘에스일렉트릭,전기·전자,2023,583925062424.0,214646330873.0,2605193022178.0,1448676924745.0,46582280024.0,527985325318.0,207672688149.0,324877723039.0,4230482628448.0,3732891934230.0,1724042303163.0,2008849631067.0,0.5381483489104472,0.46185165108955284,1.7983257534364145,1.4338653852898469,0.40307473146697914,0.05563319051502024,0.12045684016453367,0.07679448223102267,6.974276975528406,0.057501351406594105,0.10685037224960967,0.0,0.0
00105855,010120,엘에스일렉트릭,전기·전자,2024,660104319206.0,230146922129.0,3052191652183.0,1846349798510.0,55346279717.0,510013227555.0,242237998768.0,389717122317.0,4551837252467.0,4485197464384.0,1890092083448.0,2595105380936.0,0.5785933398792763,0.4214066601207237,1.6530950173396783,1.3768671714750542,0.3575185589094237,0.05400832420234794,0.12816200908375713,0.08561754313728627,7.04143303415741,0.051312550663944634,0.08868500054745015,0.0,0.0
00105855,010120,엘에스일렉트릭,전기·전자,2025,762716704001.0,299948385888.0,3356846142791.0,1864659912559.0,60129920354.0,552890167663.0,284256733172.0,426407143017.0,4965798552980.0,4956680318372.0,2141298852376.0,2815381465996.0,0.5679973863879726,0.4320026136120274,1.8002457821835034,1.5037358588783838,0.40903796926393504,0.05734820785564861,0.1327496780080869,0.08586879601894261,7.091430364561164,0.060513966328681196,0.10653916334633787,0.0,0.0
