bsns_year,corp_code,stock_code,corp_name_master,industry_krx,sj_div,account_id,account_nm,thstrm_amount,frmtrm_amount
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,파생상품자산/부채평가손실,2133564804.0,9836638119.0
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,확정계약평가손실,,
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,매도가능금융자산손상차손,,
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,매도가능금융자산처분손실,,
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,기타포괄손익 - 공정가치측정금융자산 처분손실,3467062.0,15191765.0
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,지분법손실,1284216.0,
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,매출채권처분손실,215544761.0,182562649.0
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,기타 현금 유출이 없는 비용,470470639.0,455594750.0
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,수익차감 :,-121855701856.0,-76644533770.0
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,외화환산이익,20620155267.0,28601590959.0
2019,00105855,010120,엘에스일렉트릭,전기·전자,CF,-표준계정코드 미사용-,유형자산손상차손환입,44363364.0,82673957.0
